dataset,strategy,task_id,run_id,ts_unix,pipeline_config,trigger_policy,verifier_invoked,verifier_decision,repair_attempted,origin_stage,run_total_tokens,end_to_end_latency_s,parse_error_type,parse_error_text,architect,developer,qa,verifier,architect_total_tokens,developer_total_tokens,qa_total_tokens,verifier_total_tokens,architect_latency_s,developer_latency_s,qa_latency_s,verifier_latency_s,architect_error,developer_repair,developer_harm,verifier_repair,verifier_harm,run_index_for_task,run_count_for_task,is_latest_for_task,has_boolean_result,passed,error_type,error
bigcodebench,monolithic,BigCodeBench/200,run-c001e0e8,1771514105.445513,humaneval_monolithic,monolithic,0,,0,Monolithic,1824,17.473056,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 38)",,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_count_greater_than_or_equal_value (builtins.TestCases.test_count_greater_than_or_equal_value)
Verify the count includes numbers greater than or equal to the value.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 28, in test_count_greater_than_or_equal_value
AssertionError: 3 != 2

======================================================================
FAIL: test_plotting_mocked (builtins.TestCases.test_plotting_mocked)
Test that the function calls plt.show().
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 13, in test_plotting_mocked
  File ""C:\Python314\Lib\unittest\mock.py"", line 964, in assert_called_once
    raise AssertionError(msg)
AssertionError: Expected 'show' to have been called once. Called 0 times.

----------------------------------------------------------------------
Ran 5 tests in 0.250s

FAILED (failures=2)"
bigcodebench,monolithic,BigCodeBench/107,run-d15f7ccc,1771514796.932566,humaneval_monolithic,monolithic,0,,0,Monolithic,1879,15.292882,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/37,run-d15f7ccc,1771514816.128503,humaneval_monolithic,monolithic,0,,0,Monolithic,2054,19.163208,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/908,run-d15f7ccc,1771514831.235491,humaneval_monolithic,monolithic,0,,0,Monolithic,1633,15.092936,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_invalid_directory (builtins.TestCases.test_invalid_directory)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 35, in test_invalid_directory
AssertionError: FileNotFoundError not raised

----------------------------------------------------------------------
Ran 5 tests in 0.744s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/487,run-d15f7ccc,1771514851.103109,humaneval_monolithic,monolithic,0,,0,Monolithic,2206,19.83038,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/458,run-d15f7ccc,1771514870.396479,humaneval_monolithic,monolithic,0,,0,Monolithic,2099,19.276757,SyntaxError,"invalid character '→' (U+2192) (<unknown>, line 46)",,,,,,,,,,,,,,,,,,2,2,1,1,False,SyntaxError,"invalid character '→' (U+2192) (<unknown>, line 46)"
bigcodebench,monolithic,BigCodeBench/304,run-d15f7ccc,1771514886.254216,humaneval_monolithic,monolithic,0,,0,Monolithic,1892,15.844222,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/798,run-d15f7ccc,1771514901.880427,humaneval_monolithic,monolithic,0,,0,Monolithic,1447,15.6053,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
ERROR: test_no_backups_in_backup_directory (builtins.TestCases.test_no_backups_in_backup_directory)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 27, in test_no_backups_in_backup_directory
  File ""<string>"", line 11, in task_func
  File ""C:\Python314\Lib\shutil.py"", line 852, in rmtree
    _rmtree_impl(path, dir_fd, onexc)
    ~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Python314\Lib\shutil.py"", line 675, in _rmtree_unsafe
    onexc(os.lstat, path, err)
    ~~~~~^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Python314\Lib\shutil.py"", line 673, in _rmtree_unsafe
    st = os.lstat(path)
FileNotFoundError: [WinError 3] The system cannot find the path specified: '/tmp/my_data'

----------------------------------------------------------------------
Ran 5 tests in 0.006s

FAILED (errors=1)"
bigcodebench,monolithic,BigCodeBench/328,run-d15f7ccc,1771514921.205818,humaneval_monolithic,monolithic,0,,0,Monolithic,1823,19.290572,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/510,run-d15f7ccc,1771514936.069004,humaneval_monolithic,monolithic,0,,0,Monolithic,1639,14.847803,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/89,run-d15f7ccc,1771514955.453144,humaneval_monolithic,monolithic,0,,0,Monolithic,2307,19.356898,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,TimeoutError,Timeout after 30.0s
bigcodebench,monolithic,BigCodeBench/49,run-d15f7ccc,1771514967.306882,humaneval_monolithic,monolithic,0,,0,Monolithic,1503,11.833469,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
ERROR: test_case_1 (builtins.TestCases.test_case_1)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 14, in test_case_1
  File ""<string>"", line 50, in assert_function_output
TypeError: 'Axes' object is not subscriptable

======================================================================
ERROR: test_case_2 (builtins.TestCases.test_case_2)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 17, in test_case_2
  File ""<string>"", line 50, in assert_function_output
TypeError: 'Axes' object is not subscriptable

======================================================================
ERROR: test_case_4 (builtins.TestCases.test_case_4)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 28, in test_case_4
  File ""<string>"", line 50, in assert_function_output
TypeError: 'Axes' object is not subscriptable

======================================================================
ERROR: test_case_5 (builtins.TestCases.test_case_5)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 31, in test_case_5
  File ""<string>"", line 50, in assert_function_output
TypeError: 'Axes' object is not subscriptable

----------------------------------------------------------------------
Ran 5 tests in 0.476s

FAILED (errors=4)"
bigcodebench,monolithic,BigCodeBench/157,run-d15f7ccc,1771514970.140993,humaneval_monolithic,monolithic,0,,0,Monolithic,864,2.821634,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_correlation_calculation (builtins.TestCases.test_correlation_calculation)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 32, in test_correlation_calculation
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\numpy\testing\_private\utils.py"", line 1222, in assert_array_almost_equal
    assert_array_compare(compare, actual, desired, err_msg=err_msg,
    ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                         verbose=verbose,
                         ^^^^^^^^^^^^^^^^
             header=('Arrays are not almost equal to %d decimals' % decimal),
             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
             precision=decimal)
             ^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\numpy\testing\_private\utils.py"", line 842, in assert_array_compare
    raise AssertionError(msg)
AssertionError: 
Arrays are not almost equal to 6 decimals

(shapes (9, 9), (64,) mismatch)
 ACTUAL: MaskedArray([[ 1., inf, inf, inf, -1.,  1., -1., inf,  1.],
             [inf, inf, inf, inf, inf, inf, inf, inf, inf],
             [inf, inf, inf, inf, inf, inf, inf, inf, inf],...
 DESIRED: array([ 1., nan, nan, nan, -1.,  1., -1., nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan,
       nan, nan, nan, nan, nan, nan, -1., nan, nan, nan,  1., -1.,  1.,...

----------------------------------------------------------------------
Ran 5 tests in 0.323s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/611,run-d15f7ccc,1771514990.544021,humaneval_monolithic,monolithic,0,,0,Monolithic,1972,20.384101,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_more_plots_than_data (builtins.TestCases.test_more_plots_than_data)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 27, in test_more_plots_than_data
AssertionError: False is not true

----------------------------------------------------------------------
Ran 5 tests in 1.338s

FAILED (failures=1)"
bigcodebench,monolithic,BigCodeBench/1071,run-d15f7ccc,1771515012.715655,humaneval_monolithic,monolithic,0,,0,Monolithic,2339,22.153673,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_color_cycle (builtins.TestCases.test_color_cycle)
Check that the colors of the plotted lines follow the specified cycle.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 39, in test_color_cycle
AssertionError: Lists differ: ['b', 'g', 'r', 'c', 'm', 'y', 'k', 'b'] != [(0.0, 0.0, 1.0, 1), (0.0, 0.5, 0.0, 1), ([119 chars], 1)]

First differing element 0:
'b'
(0.0, 0.0, 1.0, 1)

- ['b', 'g', 'r', 'c', 'm', 'y', 'k', 'b']
+ [(0.0, 0.0, 1.0, 1),
+  (0.0, 0.5, 0.0, 1),
+  (1.0, 0.0, 0.0, 1),
+  (0.0, 0.75, 0.75, 1),
+  (0.75, 0.0, 0.75, 1),
+  (0.75, 0.75, 0.0, 1),
+  (0.0, 0.0, 0.0, 1),
+  (0.0, 0.0, 1.0, 1)] : The colors of the plotted lines should follow the specified cycle.

======================================================================
FAIL: test_y_values (builtins.TestCases.test_y_values)
Check that the y-values are shuffled.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 49, in test_y_values
AssertionError: False is not true : The y-values should be shuffled numbers from the range [1, len(list)].

----------------------------------------------------------------------
Ran 5 tests in 0.512s

FAILED (failures=2)"
bigcodebench,monolithic,BigCodeBench/499,run-d15f7ccc,1771515029.822825,humaneval_monolithic,monolithic,0,,0,Monolithic,1765,17.090973,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/617,run-d15f7ccc,1771515046.747353,humaneval_monolithic,monolithic,0,,0,Monolithic,1964,16.909319,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 46)",,,,,,,,,,,,,,,,,,2,2,1,1,False,SyntaxError,"invalid character '✓' (U+2713) (<unknown>, line 46)"
bigcodebench,monolithic,BigCodeBench/375,run-d15f7ccc,1771515059.668433,humaneval_monolithic,monolithic,0,,0,Monolithic,1427,12.907155,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/1042,run-d15f7ccc,1771515075.445188,humaneval_monolithic,monolithic,0,,0,Monolithic,1742,15.765402,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
ERROR: test_email_with_empty_message (builtins.TestCases.test_email_with_empty_message)
Test behavior when an empty message is received.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 45, in test_email_with_empty_message
  File ""<string>"", line 16, in task_func
EOFError: EOF when reading a line

======================================================================
ERROR: test_smtp_server_connection_error (builtins.TestCases.test_smtp_server_connection_error)
Test behavior when there is a network error (e.g., SMTP server unreachable).
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 67, in test_smtp_server_connection_error
  File ""<string>"", line 16, in task_func
EOFError: EOF when reading a line

======================================================================
ERROR: test_socket_closes_after_operation (builtins.TestCases.test_socket_closes_after_operation)
Test if the socket is properly closed after the operation.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 83, in test_socket_closes_after_operation
  File ""<string>"", line 16, in task_func
EOFError: EOF when reading a line

======================================================================
ERROR: test_successful_email_dispatch (builtins.TestCases.test_successful_email_dispatch)
Test if the email is successfully composed and sent with valid inputs.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 102, in test_successful_email_dispatch
  File ""<string>"", line 16, in task_func
EOFError: EOF when reading a line

======================================================================
ERROR: test_successful_email_send (builtins.TestCases.test_successful_email_send)
Test if the email is successfully sent with valid inputs.
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""C:\Python314\Lib\unittest\mock.py"", line 1432, in patched
    return func(*newargs, **newkeywargs)
  File ""<string>"", line 23, in test_successful_email_send
  File ""<string>"", line 16, in task_func
EOFError: EOF when reading a line

----------------------------------------------------------------------
Ran 5 tests in 0.006s

FAILED (errors=5)"
bigcodebench,monolithic,BigCodeBench/1127,run-d15f7ccc,1771515092.428915,humaneval_monolithic,monolithic,0,,0,Monolithic,1616,16.971411,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_path_with_existing_files (builtins.TestCases.test_path_with_existing_files)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 53, in test_path_with_existing_files
AssertionError: Lists differ: [('C:[59 chars]t', 'b10a8db164e0754105b7a99be72e3fe5'), ('###[79 chars]one)] != [('C:[59 chars]t', 'a591a6d40bf420404a011733cfb7b190d62c65bf0[173 chars]e7')]

First differing element 0:
('C:\[58 chars]t', 'b10a8db164e0754105b7a99be72e3fe5')
('C:\[58 chars]t', 'a591a6d40bf420404a011733cfb7b190d62c65bf0[20 chars]46e')

  [('C:\\Users\\jbeem\\AppData\\Local\\Temp\\tmpiuvozonh\\file1.txt',
-   'b10a8db164e0754105b7a99be72e3fe5'),
+   'a591a6d40bf420404a011733cfb7b190d62c65bf0bcda32b57b277d9ad9f146e'),
   ('####', None),
-  ('C:\\Users\\jbeem\\AppData\\Local\\Temp\\tmpiuvozonh\\file2.txt', None)]
?                                                                    -------

+  ('C:\\Users\\jbeem\\AppData\\Local\\Temp\\tmpiuvozonh\\file2.txt',
+   'c96724127af2d6f56bbc3898632b101167242f02519a99e5ab3f1cab9ff995e7')]

======================================================================
FAIL: test_path_with_non_standard_delimiter (builtins.TestCases.test_path_with_non_standard_delimiter)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 38, in test_path_with_non_standard_delimiter
AssertionError: Lists differ: [('Di[117 chars]xt', None), ('-', None), ('file2.txt', None)] != [('Di[117 chars]xt', 'a591a6d40bf420404a011733cfb7b190d62c65bf[56 chars]one)]

First differing element 4:
('C:\[57 chars]xt', None)
('C:\[57 chars]xt', 'a591a6d40bf420404a011733cfb7b190d62c65bf[21 chars]46e')

  [('Dir1', None),
   ('-', None),
   ('file1', None),
   ('-', None),
-  ('C:\\Users\\jbeem\\AppData\\Local\\Temp\\tmp3z2mwe_k\\file1.txt', None),
?                                                                    -------

+  ('C:\\Users\\jbeem\\AppData\\Local\\Temp\\tmp3z2mwe_k\\file1.txt',
+   'a591a6d40bf420404a011733cfb7b190d62c65bf0bcda32b57b277d9ad9f146e'),
   ('-', None),
   ('file2.txt', None)]

----------------------------------------------------------------------
Ran 6 tests in 0.020s

FAILED (failures=2)"
bigcodebench,monolithic,BigCodeBench/938,run-d15f7ccc,1771515104.062803,humaneval_monolithic,monolithic,0,,0,Monolithic,1486,11.623899,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
ERROR: test_clean_text_and_calculate_length (builtins.TestCases.test_clean_text_and_calculate_length)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 6, in test_clean_text_and_calculate_length
  File ""<string>"", line 8, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\series.py"", line 4943, in apply
    ).apply()
      ~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1422, in apply
    return self.apply_standard()
           ~~~~~~~~~~~~~~~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1502, in apply_standard
    mapped = obj._map_values(
        mapper=curried, na_action=action, convert=self.convert_dtype
    )
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\base.py"", line 925, in _map_values
    return algorithms.map_array(arr, mapper, na_action=na_action, convert=convert)
           ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\algorithms.py"", line 1743, in map_array
    return lib.map_infer(values, mapper, convert=convert)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""pandas/_libs/lib.pyx"", line 2999, in pandas._libs.lib.map_infer
  File ""<string>"", line 6, in clean_text
  File ""C:\Python314\Lib\re\__init__.py"", line 208, in sub
    return _compile(pattern, flags).sub(repl, string, count)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
TypeError: expected string or bytes-like object, got 'NoneType'

======================================================================
ERROR: test_empty_and_none (builtins.TestCases.test_empty_and_none)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 27, in test_empty_and_none
  File ""<string>"", line 8, in task_func
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\series.py"", line 4943, in apply
    ).apply()
      ~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1422, in apply
    return self.apply_standard()
           ~~~~~~~~~~~~~~~~~~~^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\apply.py"", line 1502, in apply_standard
    mapped = obj._map_values(
        mapper=curried, na_action=action, convert=self.convert_dtype
    )
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\base.py"", line 925, in _map_values
    return algorithms.map_array(arr, mapper, na_action=na_action, convert=convert)
           ~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""C:\Users\jbeem\AppData\Roaming\Python\Python314\site-packages\pandas\core\algorithms.py"", line 1743, in map_array
    return lib.map_infer(values, mapper, convert=convert)
           ~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""pandas/_libs/lib.pyx"", line 2999, in pandas._libs.lib.map_infer
  File ""<string>"", line 6, in clean_text
  File ""C:\Python314\Lib\re\__init__.py"", line 208, in sub
    return _compile(pattern, flags).sub(repl, string, count)
           ~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^
TypeError: expected string or bytes-like object, got 'NoneType'

----------------------------------------------------------------------
Ran 5 tests in 0.008s

FAILED (errors=2)"
bigcodebench,monolithic,BigCodeBench/953,run-d15f7ccc,1771515120.173051,humaneval_monolithic,monolithic,0,,0,Monolithic,2039,16.097125,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/624,run-d15f7ccc,1771515132.386557,humaneval_monolithic,monolithic,0,,0,Monolithic,1374,12.197391,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/820,run-d15f7ccc,1771515142.850741,humaneval_monolithic,monolithic,0,,0,Monolithic,1333,10.448255,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/895,run-d15f7ccc,1771515160.00346,humaneval_monolithic,monolithic,0,,0,Monolithic,1766,17.142543,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,AssertionError,"======================================================================
FAIL: test_case_1 (builtins.TestCases.test_case_1)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 8, in test_case_1
AssertionError: np.float64(50.1663) != 250.7154

======================================================================
FAIL: test_case_3 (builtins.TestCases.test_case_3)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 18, in test_case_3
AssertionError: np.int32(52) != 103

======================================================================
FAIL: test_case_4 (builtins.TestCases.test_case_4)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 26, in test_case_4
AssertionError: np.int32(22) != 278

======================================================================
FAIL: test_case_5 (builtins.TestCases.test_case_5)
----------------------------------------------------------------------
Traceback (most recent call last):
  File ""<string>"", line 33, in test_case_5
AssertionError: np.int32(78) != 367

----------------------------------------------------------------------
Ran 5 tests in 0.651s

FAILED (failures=4)"
bigcodebench,monolithic,BigCodeBench/464,run-d15f7ccc,1771515174.368406,humaneval_monolithic,monolithic,0,,0,Monolithic,1670,14.352904,,,,,,,,,,,,,,,,,,,,2,2,1,1,True,,
bigcodebench,monolithic,BigCodeBench/48,run-d15f7ccc,1771515188.424399,humaneval_monolithic,monolithic,0,,0,Monolithic,1624,14.045426,,,,,,,,,,,,,,,,,,,,2,2,1,1,False,TimeoutError,Timeout after 30.0s
